Atoll,Local Names,Atoll Official Name,Sort Order
Alif Uthuru Buri,Alif Alif (AA),Ari Atholhu Uthuruburi,8
Alif Dhekunu Buri,Alif Dhaal (ADh),Ari Atholhu Dhekunuburi,9
Baa Atoll,Baa (B),Maalhosmadulu Dhekunuburi,4
Dhaal Atoll,Dhaalu (Dh),Nilandhe Atholhu Dhekunuburi,13
Faafu Atoll,Faafu (F),Nilandhe Atholhu Uthuruburi,14
Gaaf Alif Atoll,Gaafu Alif (GA),Huvadhu Atholhu Uthuruburi,18
Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),Huvadhu Atholhu Dhekunuburi,19
Gnaviyani Atoll,Gnaviyani (Gn),Fuvahmulah,20
Haa Alif Atoll,Haa Alif (HA),Thiladhunmathee Uthuruburi,1
Haa Dhaal Atoll,Haa Dhaalu (HDh),Thiladhunmathee Dhekunuburi,2
Kaafu Atoll,Kaafu Atoll,Malé Atholhu,10
Laamu Atoll,Laamu (L),Hadhdhummathi Atholhu,17
Lhaviyani Atoll,Lhaviyani (Lh),Faadhippolhu,5
Meemu Atoll,Meemu (M),Meemu (M),15
Noonu Atoll,Noonu (N),Miladhunmadulu Dhekunuburi,6
Raa Atoll,Raa (R),Maalhosmadulu Uthuruburi,7
Seenu Atoll,Addu (S),Addu Atholhu,21
Shaviyani Atoll,Shaviyani (Sh),Miladhunmadulu Uthuruburi,3
Thaa Atoll,Thaa (Th),Kolhumadulu Atholhu,16
Vaavu Atoll,Vaavu (V),Felidhe Atholhu,11
Male,Male,Greater Malé  Region,12
Industrial Islands,Industrial Islands,Industrial Islands,23
Resorts,Resorts,Resorts,22
